xi,k,w,rps,logloss,brier,acierto,n
0.006,8.0,0.5,0.202428,0.996679,0.593927,0.516708,2843
0.006,8.0,0.75,0.204938,1.004759,0.599507,0.5051,2843
0.006,8.0,1.0,0.208639,1.017296,0.607719,0.501583,2843
0.006,12.0,0.0,0.201277,0.993063,0.591092,0.520577,2843
0.006,12.0,0.25,0.201531,0.993833,0.591757,0.522336,2843
0.006,12.0,0.5,0.202792,0.997714,0.594596,0.516708,2843
0.006,12.0,0.75,0.205114,1.005106,0.599738,0.508266,2843
0.006,12.0,1.0,0.208539,1.016551,0.607309,0.502286,2843
0.006,16.0,0.0,0.201777,0.994583,0.59211,0.51917,2843
0.006,16.0,0.25,0.202017,0.995283,0.59273,0.521632,2843
0.006,16.0,0.5,0.203205,0.998896,0.595389,0.517411,2843
0.006,16.0,0.75,0.205391,1.005795,0.600212,0.509321,2843
0.006,16.0,1.0,0.208613,1.016468,0.607316,0.5051,2843
0.006,24.0,0.0,0.202716,0.997381,0.594033,0.517411,2843
0.006,24.0,0.25,0.202935,0.997974,0.594581,0.520225,2843
0.006,24.0,0.5,0.204017,1.001207,0.596983,0.512839,2843
0.006,24.0,0.75,0.206007,1.007409,0.601351,0.506507,2843
0.006,24.0,1.0,0.208943,1.017009,0.607792,0.504397,2843
0.008,0.0,0.0,0.202113,0.996479,0.593303,0.520577,2843
0.008,0.0,0.25,0.202505,0.997998,0.59438,0.51917,2843
0.008,0.0,0.5,0.204581,1.005141,0.599123,0.508969,2843
0.008,0.0,0.75,0.20841,1.018729,0.607723,0.501231,2843
0.008,0.0,1.0,0.213996,1.039787,0.620284,0.492789,2843
0.008,2.0,0.0,0.201838,0.995026,0.59264,0.520225,2843
0.008,2.0,0.25,0.202179,0.996302,0.593582,0.516004,2843
0.008,2.0,0.5,0.204081,1.002649,0.597907,0.508266,2843
0.008,2.0,0.75,0.207607,1.014731,0.605794,0.500879,2843
0.008,2.0,1.0,0.212787,1.033536,0.617378,0.4949,2843
0.008,4.0,0.0,0.201797,0.994787,0.592501,0.520225,2843
0.008,4.0,0.25,0.202117,0.995947,0.593381,0.514949,2843
0.008,4.0,0.5,0.203911,1.001853,0.597449,0.508618,2843
0.008,4.0,0.75,0.207242,1.013114,0.604879,0.500879,2843
0.008,4.0,1.0,0.212142,1.030679,0.615807,0.492438,2843
0.008,6.0,0.0,0.201866,0.994997,0.592614,0.518818,2843
0.008,6.0,0.25,0.202178,0.99609,0.593457,0.514246,2843
0.008,6.0,0.5,0.203898,1.001699,0.597345,0.508266,2843
0.008,6.0,0.75,0.207087,1.012401,0.604445,0.500528,2843
0.008,6.0,1.0,0.211782,1.02914,0.614896,0.493141,2843
0.008,8.0,0.0,0.201993,0.995404,0.592855,0.518818,2843
0.008,8.0,0.25,0.202301,0.996453,0.593675,0.515652,2843
0.008,8.0,0.5,0.203965,1.001843,0.597426,0.51108,2843
0.008,8.0,0.75,0.207045,1.012123,0.60427,0.501583,2843
0.008,8.0,1.0,0.211581,1.028253,0.614352,0.492789,2843
0.008,12.0,0.0,0.202323,0.996443,0.593508,0.517059,2843
0.008,12.0,0.25,0.202627,0.997434,0.594297,0.516004,2843
0.008,12.0,0.5,0.204209,1.002509,0.597848,0.511432,2843
0.008,12.0,0.75,0.207128,1.012175,0.604313,0.503693,2843
0.008,12.0,1.0,0.211428,1.027402,0.613843,0.495251,2843
0.008,16.0,0.0,0.202684,0.997551,0.594235,0.516356,2843
0.008,16.0,0.25,0.202985,0.998501,0.595002,0.514597,2843
0.008,16.0,0.5,0.20451,1.00335,0.598408,0.51108,2843
0.008,16.0,0.75,0.207311,1.012577,0.604596,0.504749,2843
0.008,16.0,1.0,0.211433,1.027078,0.613712,0.497362,2843
0.008,24.0,0.0,0.203386,0.999653,0.595663,0.516004,2843
0.008,24.0,0.25,0.203683,1.00054,0.596394,0.514597,2843
0.008,24.0,0.5,0.205123,1.005067,0.59959,0.510376,2843
0.008,24.0,0.75,0.207759,1.013672,0.605386,0.504045,2843
0.008,24.0,1.0,0.211627,1.027154,0.613911,0.497714,2843
0.012,0.0,0.0,0.205391,1.007112,0.600568,0.512839,2843
0.012,0.0,0.25,0.205715,1.008574,0.601481,0.510376,2843
0.012,0.0,0.5,0.208167,1.017383,0.607027,0.500176,2843
0.012,0.0,0.75,0.212819,1.034668,0.617437,0.497362,2843
0.012,0.0,1.0,0.219644,1.062032,0.632799,0.487865,2843
0.012,2.0,0.0,0.205114,1.005623,0.599906,0.51319,2843
0.012,2.0,0.25,0.20541,1.006913,0.600737,0.508618,2843
0.012,2.0,0.5,0.207734,1.015092,0.605976,0.499121,2843
0.012,2.0,0.75,0.212158,1.031152,0.615841,0.498417,2843
0.012,2.0,1.0,0.218668,1.056625,0.630438,0.487513,2843
0.012,4.0,0.0,0.205003,1.0051,0.59962,0.512839,2843
0.012,4.0,0.25,0.205291,1.006313,0.60042,0.508266,2843
0.012,4.0,0.5,0.207536,1.014134,0.605466,0.499824,2843
0.012,4.0,0.75,0.211807,1.029508,0.614973,0.496307,2843
0.012,4.0,1.0,0.218091,1.053895,0.629037,0.48681,2843
0.012,6.0,0.0,0.204979,1.004975,0.599533,0.513542,2843
0.012,6.0,0.25,0.205268,1.00615,0.60032,0.507914,2843
0.012,6.0,0.5,0.207457,1.013731,0.605232,0.498769,2843
0.012,6.0,0.75,0.211616,1.028635,0.614475,0.49701,2843
0.012,6.0,1.0,0.217731,1.052288,0.628144,0.487161,2843
0.012,8.0,0.0,0.205005,1.005047,0.599559,0.51319,2843
0.012,8.0,0.25,0.205297,1.006201,0.600343,0.508266,2843
0.012,8.0,0.5,0.207446,1.013606,0.605153,0.500176,2843
0.012,8.0,0.75,0.211517,1.028157,0.614191,0.498065,2843
0.012,8.0,1.0,0.217499,1.051261,0.62755,0.486106,2843
0.012,12.0,0.0,0.205134,1.005463,0.59979,0.510728,2843
0.012,12.0,0.25,0.205437,1.006599,0.600576,0.508969,2843
0.012,12.0,0.5,0.207527,1.013753,0.60524,0.500879,2843
0.012,12.0,0.75,0.211469,1.027793,0.613973,0.498769,2843
0.012,12.0,1.0,0.217252,1.050107,0.626865,0.487161,2843
0.012,16.0,0.0,0.205311,1.006026,0.600131,0.508618,2843
0.012,16.0,0.25,0.205624,1.007154,0.600923,0.506859,2843
0.012,16.0,0.5,0.207674,1.014132,0.605481,0.499121,2843
0.012,16.0,0.75,0.211522,1.027808,0.613992,0.499824,2843
0.012,16.0,1.0,0.217159,1.049565,0.626542,0.489624,2843
0.012,24.0,0.0,0.205703,1.007235,0.600908,0.508266,2843
0.012,24.0,0.25,0.20603,1.008355,0.601707,0.5051,2843
0.012,24.0,0.5,0.208023,1.01509,0.606116,0.499472,2843
0.012,24.0,0.75,0.211738,1.028257,0.614309,0.499472,2843
0.012,24.0,1.0,0.21717,1.049237,0.626374,0.491031,2843
